journal,issn,ajg_rank,ft50
International Journal of Finance and Economics,1099-1158,3,0
International Review of Financial Analysis,1873-8079,3,0
Journal of Banking and Finance,1872-6372,3,0
Journal of Commodity Markets,2405-8505,3,0
Journal of Empirical Finance,1879-1727,3,0
Journal of Financial Econometrics,1479-8417,3,0
Journal of Financial Markets,1878-576X,3,0
Journal of Financial Research,1475-6803,3,0
Journal of Financial Services Research,1573-0735,3,0
Journal of Financial Stability,1878-0962,3,0
Journal of Futures Markets,1096-9934,3,0
"Journal of International Financial Markets, Institutions and Money",1873-0612,3,0
Journal of International Money and Finance,1873-0639,3,0
Journal of Portfolio Management,2168-8656,3,0
Journal of Real Estate Finance and Economics,1573-045X,3,0
Journal of Risk and Insurance,1539-6975,3,0
Mathematical Finance,1467-9965,3,0
Quantitative Finance,1469-7696,3,0
Review of Asset Pricing Studies,2045-9939,3,0
Review of Corporate Finance Studies,2046-9136,3,0
Review of Quantitative Finance and Accounting,1573-7179,3,0
Annals of Corporate Governance,,2,
Annals of Finance,1614-2454,2,0
Applied Mathematical Finance,1466-4313,2,0
Asia-Pacific Financial Markets,1573-6946,2,0
ASTIN Bulletin,1783-1350,2,0
Corporate Governance (Bingley),1472-0701,2,0
Emerging Markets Finance and Trade,1558-0938,2,0
Emerging Markets Review,1873-6173,2,0
European Actuarial Journal,,2,
Finance Research Letters,1544-6131,2,0
Financial Innovation,,2,
Financial Markets and Portfolio Management,2373-8529,2,0
Foundations and Trends in Finance,1567-2409,2,0
Geneva Papers on Risk and Insurance: Issues and Practice,1468-0440,2,0
Global Finance Journal,1044-0283,2,0
"International Journal of Banking, Accounting and Finance",1755-3849,2,0
International Journal of Managerial Finance,1743-9132,2,0
International Journal of Theoretical and Applied Finance,0219-0249,2,0
International Tax and Public Finance,1573-6970,2,0
Journal of Alternative Investments,1520-3255,2,0
Journal of Asset Management,1479-179X,2,0
Journal of Banking Regulation,1750-2071,2,0
Journal of Behavioral Finance,1542-7579,2,0
Journal of Derivatives,2168-8524,2,0
Journal of Economics and Business,0148-6195,2,0
Journal of Emerging Market Finance,0973-0710,2,0
Journal of Fixed Income,1059-8596,2,0
"Journal of Law, Finance, and Accounting",,2,
Journal of Multinational Financial Management,1873-1309,2,0
Journal of Operational Risk,1755-2710,2,0
Journal of Pension Economics and Finance,1475-3022,2,0
Journal of Risk,1755-2842,2,0
North American Actuarial Journal,1092-0277,2,0
Pacific Basin Finance Journal,1879-0585,2,0
Research in International Business and Finance,1878-3384,2,0
Review of Accounting and Finance,1758-7700,2,0
Review of Derivatives Research,1573-7144,2,0
Review of Development Finance,1879-9337,2,0
SIAM Journal on Financial Mathematics,1945-497X,2,0
African Finance Journal,1605-9786,1,0
Agricultural Finance Review,2041-6326,1,0
Annals of Actuarial Science,1748-5002,1,0
Bancaria The Journal of the Italian Banking Association,2499-4472,1,0
Banks and Bank Systems,,1,
British Actuarial Journal,2044-0456,1,0
China Finance Review International,2044-1401,1,0
Critical Finance Review,2164-5760,1,0
Finance,2101-0145,1,0
Financial Services Review,1057-0810,1,0
Insurance Markets and Companies,,1,
"Intelligent Systems in Accounting, Finance and Management International Journal of Islamic and Middle Eastern Finance and Managem1ent",,1,
Investment Analysts Journal,2077-0227,1,0
Investment Management and Financial Innovations,,1,
Journal of Applied Corporate Finance,1745-6622,1,0
Journal of Behavioral and Experimental Finance,2214-6369,1,0
Journal of Capital Markets Studies,,1,
Journal of Computational Finance,1755-2850,1,0
Journal of Credit Risk,1755-9723,1,0
Journal of Economics and Finance,,1,
"Journal of Economics, Finance and Administrative Science",,1,
Journal of Energy Markets,1756-3615,1,0
Journal of Financial Economic Policy,1757-6393,1,0
"Journal of Financial Management, Markets and Institutions",2282-717X,1,0
Journal of Financial Market Infrastructures,2049-5412,1,0
Journal of Financial Regulation and Compliance,1740-0279,1,0
Journal of Financial Reporting and Accounting,2042-5856,1,0
Journal of Investment Strategies,2047-1246,1,0
Journal of Prediction Markets,1750-676X,1,0
Journal of Property Investment and Finance,1463-578X,1,0
Journal of Risk Finance,1526-5943,1,0
Journal of Risk Model Validation,1753-9587,1,0
Journal of Sustainable Finance and Investment,2043-0809,1,0
Managerial Finance,1758-7743,1,0
Multinational Finance Journal,1096-1879,1,0
Public and Municipal Finance,,1,
Qualitative Research in Financial Markets,1755-4187,1,0
Quarterly Journal of Finance,2010-1406,1,0
Quarterly Journal of Finance and Accounting (QJFA),,1,
Review of Behavioral Finance,1940-5987,1,0
Scandinavian Actuarial Journal,1651-2030,1,0
The Journal of Beta Investment Strategies,,1,
The Journal of Financial Data Science,,1,
The Journal of Investing,,1,
The Journal of Structured Finance,,1,
The Journal of Wealth Management,,1,
Human Resource Management Journal (UK),1748-8583,4*,0
British Journal of Industrial Relations,1467-8543,4,0
Human Resource Management (USA),1099-050X,4,1
Industrial Relations,1468-232X,4,0
"Work, Employment and Society",1469-8722,4,0
Economic and Industrial Democracy,1461-7099,3,0
European Journal of Industrial Relations,1461-7129,3,0
Human Resource Management Review,1873-7889,3,0
ILR Review,2162-271X,3,0
Industrial Law Journal,1464-3669,3,0
Industrial Relations Journal,1468-2338,3,0
International Journal of Human Resource Management,1466-4399,3,0
"New Technology, Work and Employment",1468-005X,3,0
Work and Occupations,1552-8464,3,0
Asia Pacific Journal of Human Resources,1744-7941,2,0
Career Development International,1758-6003,2,0
Career Development Quarterly,2161-0045,2,0
Employee Relations,1758-7069,2,0
Employee Responsibilities and Rights Journal,,2,
Human Resource Development International,1469-8374,2,0
Human Resource Development Quarterly,1532-1096,2,0
Human Resource Development Review,1552-6712,2,0
Industrielle Beziehungen,1862-0035,2,0
International Journal of Manpower,1758-6577,2,0
International Journal of Training and Development,1468-2419,2,0
International Labour Review,1564-913X,2,0
Journal of Global Mobility,2049-8802,2,0
Journal of Industrial Relations,1472-9296,2,0
Journal of Labor Research,1936-4768,2,0
Journal of Organizational Effectiveness,2051-6614,2,0
Journal of Participation and Employee Ownership,,2,
Labor Studies Journal,0160-449X,2,0
Labour and Industry: a journal of social and economic relations of work,2325-5676,2,0
Personnel Review,1758-6933,2,0
Relations Industrielles/Industrial Relations,1703-8138,2,0
Sociologie du Travail,1777-5701,2,0
Transfer,1996-7284,2,0
Work in the Global Economy,,2,
"Work, Aging and Retirement Zeitschrift für Personalforschung (German Journal of Research in Human",,2,
Advances in Industrial and Labor Relations,0742-6186,1,0
African Journal of Employee Relations,,1,
Australian Journal of Labour Economics,1328-1143,1,0
Economic and Labour Relations Review,1838-2673,1,0
Evidence-based HRM,2049-3991,1,0
Indian Journal of Labour Economics,0019-5308,1,0
Industrial and Commercial Training,0019-7858,1,0
International Journal of Comparative Labour Law and Industrial Relations,1875-838X,1,0
International Journal of Employment Studies,1039-6993,1,0
International Journal of Learning and Intellectual Capital,1479-4861,1,0
Journal of Work-Applied Management,2205-2062,1,0
Labour,1467-9914,1,0
Management and Labour Studies,2321-0710,1,0
Research in Personnel and Human Resources Management,0742-7301,1,0
SA Journal of Human Resource Management,2071-078X,1,0
South Asian Journal of Human Resources Management,2349-5790,1,0
Team Performance Management,1352-7592,1,0
"Work Organisation, Labour and Globalisation",1745-6428,1,0
Journal of International Business Studies,1478-6990,4*,1
Journal of World Business,1878-5573,4,0
African Affairs,1468-2621,3,0
Asia Pacific Journal of Management,1572-9958,3,0
International Business Review,1873-6149,3,0
Journal of Common Market Studies,1468-5965,3,0
Journal of International Business Policy,,3,
Journal of International Management,1873-0620,3,0
Management and Organization Review,1740-8784,3,0
Management International Review,1861-8901,3,0
Multinational Business Review,2054-1686,3,0
Asia Pacific Business Review,1743-792X,2,0
Asian Business and Management,1476-9328,2,0
China Quarterly,1468-2648,2,0
Critical Perspectives on International Business,1742-2043,2,0
Cross Cultural and Strategic Management,2059-5794,2,0
Eurasian Geography and Economics,1938-2863,2,0
EuroMed Journal of Business,1758-888X,2,0
Europe-Asia Studies,1465-3427,2,0
European Journal of International Management,1751-6765,2,0
Journal of Business Economics and Management,2029-4433,2,0
Journal of Latin American Studies,1469-767X,2,0
Journal of Modern African Studies,1469-7777,2,0
Journal of World Trade,2210-2795,2,0
Review of African Political Economy,1740-1720,2,0
Third World Quarterly,1360-2241,2,0
Thunderbird International Business Review,1096-4762,2,0
Academia Revista Latinoamericana de Administracion,2056-5127,1,0
African Journal of Economic and Management Studies,,1,
Asia Pacific Management Review,,1,
Asia-Pacific Journal of Business Administration,1757-4331,1,0
Chinese Management Studies,1750-6158,1,0
Competitiveness Review,2051-3143,1,0
Foreign Trade Review,0971-7625,1,0
Global Business and Economics Review,1745-1329,1,0
International Journal of Business and Emerging Markets,1753-6227,1,0
International Journal of Cross Cultural Management,1741-2838,1,0
International Journal of Emerging Markets,1746-8817,1,0
International Journal of Export Marketing,2059-0903,1,0
International Journal of Indian Culture and Business Management,1753-0814,1,0
International Trade Journal,1521-0545,1,0
Journal for International Business and Entrepreneurship Development,1747-6763,1,0
Journal of African Business,1522-9076,1,0
Journal of Asia Business Studies,1559-2243,1,0
Journal of Asia-Pacific Business,1528-6940,1,0
Journal of Chinese Economic and Business Studies,1476-5292,1,0
Journal of East European Management Studies,1862-0019,1,0
Journal of East-West Business,1528-6959,1,0
Journal of Transnational Management,1547-5786,1,0
Latin American Business Review,1528-6932,1,0
Management Research,1558-0946,1,0
Review of International Business and Strategy,2059-6014,1,0
Revista de Gestão,,1,
South African Journal of Business Management,2078-5976,1,0
South Asian Journal of Macroeconomics and Public Finance,,1,
Transnational Corporations Review,1925-2099,1,0
Information Systems Research,1526-5536,4*,1
Journal of the Association for Information Systems,1558-3457,4*,0
MIS Quarterly: Management Information Systems,2162-9730,4*,1
European Journal of Information Systems,1476-9344,4,0
Information Systems Journal,1365-2575,4,0
Journal of Information Technology,1466-4437,4,0
Journal of Management Information Systems,1557-928X,4,1
Journal of Strategic Information Systems,1873-1198,4,0
Decision Support Systems,1873-5797,3,0
Government Information Quarterly,1872-9517,3,0
Information and Management,1872-7530,3,0
Information and Organization,1873-7919,3,0
Information Society,1087-6537,3,0
Information Systems Frontiers,1572-9419,3,0
Information Technology and People,1758-5813,3,0
International Journal of Electronic Commerce,1557-9301,3,0
Internet Research,1066-2243,3,0
Journal of Computer-Mediated Communication Journal of the Association for Information Science and Technology (JASIST)3,,3,
AIS Transactions on Human-Computer Interaction,1944-3900,2,0
Annual Review of Information Science and Technology,1550-8382,2,0
Behaviour and Information Technology,1362-3001,2,0
British Journal of Educational Technology,1467-8535,2,0
Business & Information Systems Engineering,,2,
Communications of the ACM,1557-7317,2,0
Communications of the Association for Information Systems,1529-3181,2,0
Computer Journal,1460-2067,2,0
Computer Supported Cooperative Work,1573-7551,2,0
Computers in Human Behavior,1873-7692,2,0
Electronic Commerce Research,1572-9362,2,0
Electronic Commerce Research and Applications,1873-7846,2,0
Enterprise Information Systems,1751-7583,2,0
Expert Systems,1468-0394,2,0
Health Information and Libraries Journal,1471-1842,2,0
Health Systems,2047-6973,2,0
Industrial Management and Data Systems,1758-5783,2,0
Information Processing and Management,1873-5371,2,0
Information Systems and e-Business Management,1617-9854,2,0
Information Systems Management,1934-8703,2,0
Information Technology for Development,1554-0170,2,0
Interacting with Computers,1873-7951,2,0
International Journal of Human Computer Studies,1095-9300,2,0
International Journal of Information Management,1873-4707,2,0
Journal of Computer Information Systems,2380-2057,2,0
Journal of Documentation,1758-7379,2,0
Journal of Enterprise Information Management,1758-7409,2,0
Journal of Global Information Management,1533-7995,2,0
Journal of Global Information Technology Management,2333-6846,2,0
Journal of Information Science,1741-6485,2,0
Journal of Systems and Software,1873-1228,2,0
MIS Quarterly Executive,1540-1979,2,0
Pacific Asia Journal of the Association for Information Systems,1943-7544,2,0
Requirements Engineering,1432-010X,2,0
Scandinavian Journal of Information Systems,1901-0990,2,0
The Data Base for Advances in Information Systems,1532-0936,2,0
Aslib Journal of Information Management,2050-3814,1,0
Australasian Journal of Information Systems,1326-2238,1,0
e-Service Journal,1528-8234,1,0
Ethics and Information Technology,1572-8439,1,0
Expert Systems with Applications,1873-6793,1,0
Foundations and Trends® in Information Systems,,1,
Human-Computer Interaction,1532-7051,1,0
Information and Computer Security,2056-4961,1,0
Information Research,1368-1613,1,0
Information Resources Management Journal,1533-7979,1,0
Information Technology & Tourism,1943-4294,1,0
Information Technology and Management,1573-7667,1,0
International Journal of Business and Systems Research,1751-2018,1,0
International Journal of Business Information Systems,1746-0980,1,0
International Journal of Business Process Integration and Management,1741-8771,1,0
"International Journal of Data Analysis Techniques and Strategies International Journal of Digital Strategy, Governance, and Business Transfor1mation",,1,
International Journal of e-Business Research,1548-114X,1,0
International Journal of Electronic Business,,1,
International Journal of Enterprise Information Systems,1548-1123,1,0
International Journal of Information Systems and Change Management,1479-313X,1,0
International Journal of Information Systems in the Service Sector,1935-5696,1,0
International Journal of Information Technology and Management,1741-5179,1,0
International Journal of Knowledge Management,1548-0658,1,0
International Journal of Services Economics and Management,,1,
International Journal of Web Information Systems,1744-0092,1,0
Journal of Database Management,1533-8010,1,0
Journal of Decision Systems,2116-7052,1,0
Journal of Electronic Commerce in Organizations,1539-2937,1,0
Journal of Electronic Commerce Research,1526-6133,1,0
Journal of Emerging Technologies in Accounting,1558-7940,1,0
Journal of Information Systems Education,1055-3096,1,0
Journal of Information Technology Case and Application Research,,1,
Journal of Information Technology Management,2423-5059,1,0
Journal of Information Technology Teaching Cases,2043-8869,1,0
Journal of Informetrics,1875-5879,1,0
Journal of Internet Commerce,1533-287X,1,0
Journal of Organizational and End User Computing,1546-5012,1,0
Journal of Organizational Computing and Electronic Commerce,1532-7744,1,0
Journal of Systems and Information Technology,1758-8847,1,0
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,1,0
Knowledge Management Research and Practice,1477-8246,1,0
Library Hi Tech (LHT),,1,
Online Information Review,1468-4535,1,0
Online Journal of Applied Knowledge Management,2325-4688,1,0
Software Impacts,,1,
South African Journal of Information Management,1560-683X,1,0
The Bottom Line,,1,
Research Policy,1873-7625,4*,1
Journal of Product Innovation Management,1540-5885,4,0
Industry and Innovation,1469-8390,3,0
Journal of Technology Transfer,1573-7047,3,0
R and D Management,1467-9310,3,0
Technological Forecasting and Social Change,1873-5509,3,0
Technovation,1879-2383,3,0
Creativity and Innovation Management,1467-8691,2,0
Innovation: Organization & Management,2204-0226,2,0
International Journal of Innovation Management,1363-9196,2,0
Journal of Engineering and Technology Management - JET-M,1608-4799,2,0
Journal of High Technology Management Research,1047-8310,2,0
Journal of Responsible Innovation,,2,
Prometheus,1470-1030,2,0
Research Technology Management,1930-0166,2,0
Science and Technology Studies,2243-4690,2,0
Science Technology and Human Values,1552-8251,2,0
Scientometrics,1588-2861,2,0
Social Studies of Science,1460-3659,2,0
Structural Change and Economic Dynamics,0954-349X,2,0
Annals of Science and Technology Policy,,1,
Asian Journal of Technology Innovation,2158-6721,1,0
European Journal of Innovation Management,1758-7115,1,0
International Journal of Business Innovation and Research,1751-0260,1,0
International Journal of Entrepreneurship and Innovation Management,1741-5098,1,0
International Journal of Foresight and Innovation Policy,1740-2824,1,0
International Journal of Innovation and Sustainable Development,1740-8830,1,0
International Journal of Innovation and Technology Management,1793-6950,1,0
International Journal of Innovation Science,1757-2231,1,0
International Journal of Product Development,1741-8178,1,0
International Journal of Technology and Globalisation,1741-8194,1,0
International Journal of Technology Intelligence and Planning International Journal of Technology Management and Sustainable Develop1ment,,1,
International Journal of Technology Transfer and Commercialisation,1741-5284,1,0
"International Journal of Technology, Policy and Management",1741-5292,1,0
International Journal of the Digital Human,2046-3383,1,0
Journal of Innovation and Knowledge,2444-569X,1,0
Journal of Innovation Economics & Management,2032-5355,1,0
Journal of Innovation Management (JIM),,1,
Journal of Science and Technology Policy Management,2053-4639,1,0
Journal of the Knowledge Economy,1868-7873,1,0
Technology Innovation Management Review,1927-0321,1,0
Academy of Management Learning and Education,1944-9585,4*,0
Management Learning,1461-7307,3,0
Studies in Higher Education,1470-174X,3,0
Accounting Education,1468-4489,2,0
Advances in Developing Human Resources,1552-3055,2,0
Assessment and Evaluation in Higher Education,,2,
British Educational Research Journal,1469-3518,2,0
British Journal of Guidance and Counselling,1469-3534,2,0
European Journal of Higher Education,,2,
Higher Education,1573-174X,2,0
Higher Education Policy,1740-3863,2,0
Higher Education Quarterly,0263-9769,2,0
INFORMS Transactions on Education,1532-0545,2,0
Innovations in Education and Teaching International,1470-3300,2,0
Issues in Accounting Education,1558-7983,2,0
Journal of Accounting Education,0748-5751,2,0
Journal of Education and Work,1469-9435,2,0
Journal of Education Policy,1464-5106,2,0
Journal of Higher Education,1538-4640,2,0
Journal of International Business Education,2044-4575,2,0
Journal of Management Education,1552-6658,2,0
Journal of Marketing Education,1552-6550,2,0
Management Teaching Review,,2,
Teaching in Higher Education,1470-1294,2,0
Action Learning: Research and Practice,1476-7341,1,0
Active Learning in Higher Education,1741-2625,1,0
Advances in Accounting Education: Teaching and Curriculum Innovations,1085-4622,1,0
Coaching,1752-1890,1,0
Decision Sciences Journal of Innovative Education,1540-4609,1,0
Education and Training,1758-6127,1,0
Electronic Journal of e-Learning,1479-4403,1,0
European Journal of Training and Development,2046-9020,1,0
"Higher Education, Skills and Work-based Learning",2042-390X,1,0
Industry and Higher Education,2043-6858,1,0
International Journal of Evidence Based Coaching and Mentoring,1741-8305,1,0
International Journal of Innovation and Learning,,1,
International Journal of Knowledge and Learning,,1,
International Journal of Learning and Change,,1,
International Journal of Management Development,1752-850X,1,0
International Journal of Management Education,2352-3565,1,0
International Journal of Teaching and Case Studies,1749-916X,1,0
Journal for Advancement of Marketing Education,1537-5137,1,0
Journal of Advertising Education,2516-1873,1,0
Journal of Business Ethics Education,2044-4559,1,0
Journal of Educational Administration,0957-8234,1,0
Journal of Further and Higher Education,1469-9486,1,0
Journal of Higher Education Policy and Management,1469-9508,1,0
Journal of International Education in Business,1836-3261,1,0
Journal of Management Development,0262-1711,1,0
Journal of Organizational Behavior Education,2047-9999,1,0
Journal of Vocational Education and Training,1747-5090,1,0
Journal of Workplace Learning,1366-5626,1,0
Marketing Education Review,2153-9987,1,0
Operations Management Education Review,2044-4567,1,0
Quality Assurance in Education,0968-4883,1,0
Tertiary Education and Management,1358-3883,1,0
The Journal of Research in Innovative Teaching & Learning,,1,
Journal of Consumer Psychology,1532-7663,4*,1
Journal of Consumer Research,1537-5277,4*,1
Journal of Marketing,1547-7185,4*,1
Journal of Marketing Research,1547-7193,4*,1
Journal of the Academy of Marketing Science,1552-7824,4*,1
Marketing Science,1526-548X,4*,1
International Journal of Research in Marketing,1873-8001,4,0
Journal of Retailing,1873-3271,4,0
European Journal of Marketing,1758-7123,3,0
Industrial Marketing Management,1873-2062,3,0
International Marketing Review,1758-6763,3,0
Journal of Advertising,1557-7805,3,0
Journal of Advertising Research,1740-1909,3,0
Journal of Interactive Marketing,1520-6653,3,0
Journal of International Marketing,1547-7215,3,0
Journal of Public Policy and Marketing,1547-7207,3,0
Marketing Letters,1573-059X,3,0
Marketing Theory,1741-301X,3,0
Psychology and Marketing,1520-6793,3,0
Quantitative Marketing and Economics,1573-711X,3,0
Academy of Marketing Science Review,1869-8182,2,0
Advances in Consumer Research,0098-9258,2,0
Consumption Markets and Culture,1477-223X,2,0
Electronic Markets,1422-8890,2,0
International Journal of Advertising,1759-3948,2,0
International Journal of Consumer Studies,1470-6431,2,0
International Journal of Market Research,2515-2173,2,0
International Journal of Retail and Distribution Management,1758-6690,2,0
Journal of Brand Management,1479-1803,2,0
Journal of Business and Industrial Marketing,2052-1189,2,0
Journal of Consumer Behaviour,1479-1838,2,0
Journal of Macromarketing,1552-6534,2,0
Journal of Marketing Management,1472-1376,2,0
Journal of Personal Selling and Sales Management,1557-7813,2,0
Journal of Retailing and Consumer Services,1873-1384,2,0
Journal of Services Marketing,0887-6045,2,0
Journal of Strategic Marketing,1466-4488,2,0
Journal of the Association for Consumer Research,,2,
Qualitative Market Research,1352-2752,2,0
Asia Pacific Journal of Marketing and Logistics,1758-4248,1,0
Australasian Marketing Journal,1441-3582,1,0
Corporate Communications,1356-3289,1,0
Corporate Reputation Review,1479-1889,1,0
Health Marketing Quarterly,1545-0864,1,0
International Journal of Bank Marketing,1758-5937,1,0
International Journal of Internet Marketing and Advertising,1741-8100,1,0
International Journal of Pharmaceutical and Healthcare Marketing,,1,
International Journal of Technology Marketing,1741-8798,1,0
"International Review of Retail, Distribution and Consumer Research",1466-4402,1,0
International Review on Public and Non-Profit Marketing,1865-1992,1,0
Journal of Business-to-Business Marketing,1547-0628,1,0
Journal of Communication Management,1363-254X,1,0
Journal of Consumer Affairs,1745-6606,1,0
Journal of Consumer Marketing,0736-3761,1,0
Journal of Current Issues and Research in Advertising,2164-7313,1,0
Journal of Fashion Marketing and Management,1758-7433,1,0
Journal of Financial Services Marketing,1479-1846,1,0
Journal of Global Fashion Marketing,2325-4483,1,0
Journal of Global Marketing,1528-6975,1,0
Journal of Interactive Advertising,1525-2019,1,0
Journal of International Consumer Marketing,,1,
Journal of Marketing Analytics,2050-3318,1,0
Journal of Marketing Communications,1466-4445,1,0
Journal of Marketing for Higher Education,1540-7144,1,0
Journal of Marketing Theory and Practice,1069-6679,1,0
Journal of Non-Profit and Public Sector Marketing,1540-6997,1,0
Journal of Philanthropy and Marketing,,1,
Journal of Product and Brand Management,2054-1643,1,0
Journal of Relationship Marketing,1533-2675,1,0
Journal of Research in Interactive Marketing,2040-7130,1,0
Journal of Social Marketing,2042-6771,1,0
Marketing Intelligence and Planning,1758-8049,1,0
Recherche et Applications en Marketing,2051-5707,1,0
Review of Marketing Science,1546-5616,1,0
Services Marketing Quarterly,1533-2977,1,0
Social Marketing Quarterly,1539-4093,1,0
Spanish Journal of Marketing - ESIC,,1,
Young Consumers,1758-7212,1,0
Journal of Operations Management,1873-1317,4*,1
International Journal of Operations and Production Management,1758-6593,4,0
Journal of Supply Chain Management,1745-493X,4,0
Production and Operations Management,1937-5956,4,1
Computers in Industry,1872-6194,3,0
IEEE Transactions on Engineering Management,1558-0040,3,0
International Journal of Production Economics,1873-7579,3,0
International Journal of Production Research,1366-588X,3,0
Journal of Business Logistics,2158-1592,3,0
Journal of Purchasing and Supply Management,1873-6505,3,0
Manufacturing and Service Operations Management,1526-5498,3,1
Production Planning and Control,1366-5871,3,0
Supply Chain Management,1758-6852,3,0
Business Process Management Journal,1758-4116,2,0
Computers and Industrial Engineering,1879-0550,2,0
International Journal of Computer Integrated Manufacturing,1362-3052,2,0
International Journal of Physical Distribution and Logistics Management,1758-664X,2,0
International Journal of Project Management,1873-4634,2,0
International Journal of Quality and Reliability Management,0265-671X,2,0
International Journal of Technology Management,1741-5276,2,0
Journal of Construction Engineering and Management - ASCE,1943-7862,2,0
Total Quality Management and Business Excellence,1478-3371,2,0
Benchmarking,1463-5771,1,0
Concurrent Engineering Research and Applications,1531-2003,1,0
"Flexible Services and Manufacturing Journal Foundations and Trends in Technology, Information and Operations Manag1ement",,1,
International Journal of Agile Systems and Management International Journal of Business Performance and Supply Chain Modelling1,,1,
International Journal of Business Performance Management,1741-5039,1,0
International Journal of Construction Management,1562-3599,1,0
International Journal of Engineering Business Management,1847-9790,1,0
International Journal of Enterprise Network Management,1748-1260,1,0
International Journal of Industrial and Systems Engineering,1748-5045,1,0
International Journal of Industrial Engineering and Management International Journal of Information Systems and Supply Chain Manageme1nt,,1,
International Journal of Integrated Supply Management,1741-8097,1,0
International Journal of Internet Manufacturing and Services,1751-6056,1,0
International Journal of Lean Six Sigma,2040-4174,1,0
International Journal of Logistics Management,1758-6550,1,0
International Journal of Logistics Research and Applications,1469-848X,1,0
International Journal of Logistics Systems and Management,1742-7975,1,0
International Journal of Manufacturing Technology and Management,,1,
International Journal of Process Management and Benchmarking,,1,
International Journal of Procurement Management,1753-8440,1,0
International Journal of Productivity and Performance Management,1741-0401,1,0
International Journal of Productivity and Quality Management,1746-6482,1,0
International Journal of Quality and Service Sciences,1756-6703,1,0
International Journal of Services and Operations Management,1744-2389,1,0
International Journal of Services Operations and Informatics,1741-5403,1,0
International Journal of Shipping and Transport Logistics,1756-6525,1,0
International Journal of Six Sigma and Competitive Advantage,,1,
International Journal of Value Chain Management,1741-5365,1,0
Journal of Global Operations and Strategic Sourcing,,1,
Journal of Humanitarian Logistics and Supply Chain Management,2042-6755,1,0
Journal of Intelligent Manufacturing,1572-8145,1,0
Journal of Manufacturing Systems,1878-6642,1,0
Journal of Manufacturing Technology Management,1758-7786,1,0
Journal of Public Procurement,2150-6930,1,0
Journal of Quality in Maintenance Engineering,1355-2511,1,0
Journal of Scheduling,1099-1425,1,0
Journal of Service Theory and Practice,2055-6225,1,0
Journal of Transport and Supply Chain Management,,1,
Knowledge and Process Management,1099-1441,1,0
"Operations Management Research Proceedings of the Institution of Mechanical Engineers, Part B: Journal",,1,
Production & Manufacturing Research,,1,
Project Management Journal,1938-9507,1,0
Quality and Reliability Engineering International,1099-1638,1,0
Quality Innovation Prosperity,,1,
Quality Progress,0033-524X,1,0
Service Science,2164-3970,1,0
Supply Chain Forum,1624-6039,1,0
TQM Journal,1754-2731,1,0
World Review of Intermodal Transportation Research,1749-4737,1,0
Management Science,1526-5501,4*,1
Operations Research,1526-5463,4*,1
European Journal of Operational Research,1872-6860,4,0
IEEE Transactions on Evolutionary Computation,1941-0026,4,0
Mathematical Programming,1436-4646,4,0
ACM Transactions on Modeling and Computer Simulation,1558-1195,3,0
Annals of Operations Research,1572-9338,3,0
Computational Optimization and Applications,1573-2894,3,0
Computers and Operations Research,1873-765X,3,0
Decision Sciences,1540-5915,3,0
Evolutionary Computation,1530-9304,3,0
Fuzzy Optimization and Decision Making,1573-2908,3,0
IEEE Transactions on Cybernetics,2168-2275,3,0
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2168-2232,3,0
IISE Transactions,,3,
INFORMS Journal on Computing,1526-5528,3,0
International Journal of Forecasting,1872-8200,3,0
Journal of Heuristics,1572-9397,3,0
Journal of Optimization Theory and Applications,1573-2878,3,0
Journal of the Operational Research Society,1476-9360,3,0
Mathematics of Operations Research,1526-5471,3,0
Naval Research Logistics,1520-6750,3,0
Omega,1873-5274,3,0
OR Spectrum,1436-6304,3,0
Reliability Engineering and System Safety,1879-0836,3,0
SIAM Journal on Optimization,1095-7189,3,0
Transportation Science,1526-5447,3,0
4OR,1614-2411,2,0
Discrete Applied Mathematics,1872-6771,2,0
Discrete Optimization,1873-636X,2,0
Engineering Optimization,1029-0273,2,0
EURO Journal on Computational Optimization,,2,
EURO Journal on Transportation and Logistics,,2,
European Journal of Industrial Engineering,1751-5262,2,0
Group Decision and Negotiation,1572-9907,2,0
IMA Journal of Management Mathematics,1471-6798,2,0
INFORMS Journal on Applied Analytics,,2,
International Journal of Systems Science: Operations & Logistics,,2,
Journal of Combinatorial Optimization,1573-2886,2,0
Journal of Forecasting,1099-131X,2,0
Journal of Global Optimization,1573-2916,2,0
Journal of Management Analytics,,2,
Journal of Simulation,1747-7786,2,0
Operations Research Letters,1872-7468,2,0
Queueing Systems,1572-9443,2,0
Simulation Modelling Practice and Theory,1878-1462,2,0
Socio-Economic Planning Sciences,0038-0121,2,0
System Dynamics Review,1099-1727,2,0
Systems Research and Behavioral Science,1099-1743,2,0
Theory and Decision,1573-7187,2,0
Asia-Pacific Journal of Operational Research,1793-7019,1,0
Central European Journal of Operations Research,1613-9178,1,0
Computational Management Science,1619-6988,1,0
Cybernetics and Systems,1087-6553,1,0
Decision Analysis,1545-8504,1,0
EURO Journal on Decision Processes,,1,
INFOR: Information Systems and Operational Research,,1,
International Journal of Applied Decision Sciences,,1,
International Journal of General Systems,1563-5104,1,0
International Journal of Mathematics in Operational Research,1757-5869,1,0
International Journal of Operational Research,1745-7653,1,0
International Journal of Operations and Quantitative Management,1082-1910,1,0
